via,placa,numero_placa,latitud,longitud
CR 62B,32 SUR-61 (0168),,6.19530106,-75.64340005
CR 46A,92-81 (0102),,6.28406672,-75.55443183
CR 9,2-10 (0259),,6.19403639,-75.54279864
CL 57B,16C-39 (0105),,6.25084279,-75.53794859
CL 106BB,21-69,,6.2916933,-75.53522379
CL 48F,107-46 (0120) LOTE,,6.26407486,-75.62188882
CR 43B,100-11 (0106),,6.29027904,-75.55083089
CR 43C,100-12 LOTE,,6.29025924,-75.55114759
CL 100,45-15 (0104),,6.29058943,-75.551943
CL 100,45-15 (0139),,6.29043295,-75.55178294
CL 100,45-15 (0140),,6.29039366,-75.55174415
CR 28A,38F-13,,6.23301903,-75.55661318
CL 49B,75-45,,6.26028564,-75.59143676
CR 10,19 SUR-490 (0128),,6.17643153,-75.54915193
CR 28A,38F-33,,6.23308544,-75.55642391
CR 28A,38F-37,,6.23309265,-75.55640339
CR 28A,38F-35,,6.23308908,-75.55641355
CR 28A,38F-65,,6.23317384,-75.5561713
CL 58C,90-161 (0181),,6.2744546,-75.60350266
CL 58C,90-47 (0143),,6.27445153,-75.60347644
CL 58C,90-161 (0177),,6.27441981,-75.60345355
CL 58C,90-161 (0126),,6.27444647,-75.60327399
CL 58C,90-161 (0118),,6.27451455,-75.60338281
CL 58C,90-161 (0117),,6.27449611,-75.60338508
CL 100B,30AA-04,,6.28905563,-75.5419719
CL 45 SUR,72-226 (0127),,6.18190258,-75.65435668
CL 45 SUR,76-36 LOTE,,6.18197375,-75.65479642
CL 48DD,101-90 (0105),,6.26033043,-75.61691677
CR 28F,111-34 (0142),,6.30056069,-75.54120787
CR 101,48A-29 (0101),,6.26019908,-75.61634355
CL 107F,36C-06,,6.29660219,-75.545527
CR 44,98-25 (0107),,6.28889942,-75.55067656
CL 76,89C-31,,6.28296229,-75.59580116
CL 118,48B-85 (0110),,6.30305598,-75.5513245
CR 55 ESTE,51A-227,,6.23820746,-75.47333096
CL 103A,50B-55 (0112),,6.29473506,-75.5582013
CL 51A,53 ESTE-100,,6.23584405,-75.47644778
CR 54A ESTE,51A-19 (0108),,6.23629508,-75.47651113
CL 104,50A-129 (0104),,6.2947891,-75.557764
CL 56AA,14-74 (0145),,6.2393017,-75.53702465
CL 56D,14-49 (0128),,6.23952001,-75.53743615
CR 30,71B-11 (0335),,6.26707286,-75.543181
CR 31C,93B-28,,6.28484638,-75.54379903
CL 89,34-12 (0130),,6.28122257,-75.54540054
CL 93,31BA-26,,6.28422827,-75.54389773
CR 36,10B-47,,6.21091998,-75.56529687
CL 75D,30-101,,6.26819812,-75.54384239
CR 28,71-36 (0107),,6.26552733,-75.54176838
CR 25,75C-133 (0153),,6.26853893,-75.539904
CR 30,75D-13,,6.26863339,-75.54297692
CR 31,92C-27,,6.28357307,-75.54312262
CR 36,92B-113,,6.28399293,-75.54602491
CL 79B,30A-32 (0108),,6.27075783,-75.54380434
CL 33B,83C-14,,6.24078524,-75.60765009
CL 104,37-175,,6.29251241,-75.54703026
CL 103,37A-116,,6.29216302,-75.54684665
CL 103,37A-66,,6.29212871,-75.54651564
CL 103,37A-64,,6.29213567,-75.54649728
CL 103,37A-46,,6.29213951,-75.54635915
CR 84,33B-40,,6.24121346,-75.60786741
CL 104,37-167,,6.29251753,-75.5469782
TV 71AB,24DF-23,,6.2658598,-75.53924592
CL 107D,45-47 (0145),,6.29678115,-75.55047236
CR 42C,107E-17 (0102),,6.29671329,-75.54788095
CR 45,107B-95,,6.29687324,-75.55010694
CL 47B,107C-18 (0120),,6.25874641,-75.62206194
CR 108,47B-104,,6.2592163,-75.62257362
CL 37D SUR,74A-59,,6.18708982,-75.6529446
CR 22B,90B-48 (0104),,6.28185316,-75.53931087
CL 100,45-79 (0101),,6.29064552,-75.5527223
CL 99,45-79 (0113),,6.29043135,-75.55271171
CL 100,45-79 (0116),,6.29040536,-75.55279432
CR 65E,25A-45,,6.22711194,-75.58696861
CL 35B,35C-36,,6.23410874,-75.5636265
CL 67,51-44 LOTE,,6.26407018,-75.56376687
CL 67,51-36 LOTE,,6.26408049,-75.56370102
CL 83C,58BB-17,,6.27703144,-75.56596928
CL 83C,58BB-21,,6.27698607,-75.56600352
CL 94,43B-20 (0115),,6.28568223,-75.55091021
CL 83B,58B-46,,6.27683346,-75.5658863
