codigo_igac	departamento	municipio	barrio	via	placa	numero_placa	observaciones	latitud	longitud
OSM-13805357350	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 50-72	50-72	Origen: OpenStreetMap	6.092253	-75.6367657
OSM-13805357353	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 50-34	50-34	Origen: OpenStreetMap	6.0922616	-75.6364495
OSM-13805357356	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 50-22	50-22	Origen: OpenStreetMap	6.0922698	-75.6363587
OSM-13805357357	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 50-18	50-18	Origen: OpenStreetMap	6.0922709	-75.6363284
OSM-13816644474	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 132 Sur-1	132 Sur-1	Origen: OpenStreetMap	6.08972	-75.6360743
OSM-13819882455	ANTIOQUIA	Caldas		Calle	Calle 131 Sur # 50-75	50-75	Origen: OpenStreetMap	6.0905077	-75.636731
OSM-13819882456	ANTIOQUIA	Caldas		Calle	Calle 131 Sur # 50-59	50-59	Origen: OpenStreetMap	6.0905059	-75.636619
OSM-13819961570	ANTIOQUIA	Caldas		Calle	Calle 131 Sur # 50-74	50-74	Origen: OpenStreetMap	6.0906482	-75.6367095
OSM-13819961571	ANTIOQUIA	Caldas		Calle	Calle 131 Sur # 50-46	50-46	Origen: OpenStreetMap	6.0906581	-75.6364655
OSM-13819961572	ANTIOQUIA	Caldas		Calle	Calle 131 Sur # 50-46	50-46	Origen: OpenStreetMap	6.0906574	-75.6364973
OSM-13819961574	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 130 Sur-77	130 Sur-77	Origen: OpenStreetMap	6.0907625	-75.6360833
OSM-13819961575	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 130 Sur-73	130 Sur-73	Origen: OpenStreetMap	6.0907952	-75.6360884
OSM-13819961577	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 130 Sur-69	130 Sur-69	Origen: OpenStreetMap	6.0908616	-75.636093
OSM-13819961580	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 130 Sur-53	130 Sur-53	Origen: OpenStreetMap	6.0909806	-75.6361019
OSM-13819961581	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 130 Sur-47	130 Sur-47	Origen: OpenStreetMap	6.0910328	-75.6361038
OSM-13819961582	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 130 Sur-33	130 Sur-33	Origen: OpenStreetMap	6.0911007	-75.6361142
OSM-13819961583	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 50-45	50-45	Origen: OpenStreetMap	6.0913276	-75.6365246
OSM-13846804693	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 130 Sur-27	130 Sur-27	Origen: OpenStreetMap	6.0913937	-75.6351698
OSM-13846804700	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 130 Sur-27	130 Sur-27	Origen: OpenStreetMap	6.0911846	-75.6361125
OSM-13846851801	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 130 Sur-14	130 Sur-14	Origen: OpenStreetMap	6.0912914	-75.6359864
OSM-13846851802	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 129 Sur-7	129 Sur-7	Origen: OpenStreetMap	6.0921326	-75.636173
OSM-13846851803	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 129 Sur-31	129 Sur-31	Origen: OpenStreetMap	6.0919935	-75.6361659
OSM-13846851804	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 129 Sur-35	129 Sur-35	Origen: OpenStreetMap	6.0919253	-75.6361615
OSM-13846851805	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 129 Sur-69	129 Sur-69	Origen: OpenStreetMap	6.0916072	-75.6361445
OSM-13846851807	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-75	49-75	Origen: OpenStreetMap	6.0913508	-75.6359761
OSM-13846851808	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-73	49-73	Origen: OpenStreetMap	6.0913538	-75.6359223
OSM-13846851811	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-47	49-47	Origen: OpenStreetMap	6.0913673	-75.6356876
OSM-13846851812	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-31	49-31	Origen: OpenStreetMap	6.0913705	-75.6356321
OSM-13846851813	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-43	49-43	Origen: OpenStreetMap	6.0913689	-75.63566
OSM-13846851814	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-37	49-37	Origen: OpenStreetMap	6.0913723	-75.6356004
OSM-13846851815	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-33	49-33	Origen: OpenStreetMap	6.0913741	-75.63557
OSM-13846851816	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-31	49-31	Origen: OpenStreetMap	6.0913756	-75.6355437
OSM-13846851817	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-25	49-25	Origen: OpenStreetMap	6.0913784	-75.6354942
OSM-13846851818	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-15	49-15	Origen: OpenStreetMap	6.0913834	-75.6354078
OSM-13846851819	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-9	49-9	Origen: OpenStreetMap	6.0913873	-75.6353394
OSM-13846851820	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-11	49-11	Origen: OpenStreetMap	6.0913858	-75.6353649
OSM-13846851821	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-5	49-5	Origen: OpenStreetMap	6.091388	-75.6353275
OSM-13846851822	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-1	49-1	Origen: OpenStreetMap	6.0913895	-75.6352841
OSM-13846851823	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 49-3	49-3	Origen: OpenStreetMap	6.0913895	-75.6353006
OSM-13846851825	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 129 Sur-10	129 Sur-10	Origen: OpenStreetMap	6.0921645	-75.6352382
OSM-13846851826	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 48-91	48-91	Origen: OpenStreetMap	6.0922276	-75.6352268
OSM-13846851827	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 48-79	48-79	Origen: OpenStreetMap	6.0922276	-75.6352048
OSM-13846851828	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 48-73	48-73	Origen: OpenStreetMap	6.0922278	-75.6351752
OSM-13846851829	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 48-69	48-69	Origen: OpenStreetMap	6.0922274	-75.6351368
OSM-13846851830	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 129 Sur-2	129 Sur-2	Origen: OpenStreetMap	6.0922132	-75.6352402
OSM-13846851832	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 129 Sur-36	129 Sur-36	Origen: OpenStreetMap	6.0919102	-75.6352268
OSM-13846851833	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 129 Sur-28	129 Sur-28	Origen: OpenStreetMap	6.0920148	-75.6352313
OSM-13846851852	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 49-24	49-24	Origen: OpenStreetMap	6.0923346	-75.6354576
OSM-13846851853	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 49-50	49-50	Origen: OpenStreetMap	6.0923178	-75.6358371
OSM-13847155765	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 136 Sur-2	136 Sur-2	Origen: OpenStreetMap	6.0861188	-75.6349465
OSM-13847155766	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 136 Sur-6	136 Sur-6	Origen: OpenStreetMap	6.0860814	-75.6349404
OSM-13847155767	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 136 Sur-8	136 Sur-8	Origen: OpenStreetMap	6.0860545	-75.6349343
OSM-13847155792	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 136 Sur-83	136 Sur-83	Origen: OpenStreetMap	6.0854404	-75.6342078
OSM-13847155794	ANTIOQUIA	Caldas		Calle	Calle 136 Sur # 48-3	48-3	Origen: OpenStreetMap	6.086163	-75.6342545
